Frame Roll Pitch Yaw
481 3.27562 -7.71245 11.2423
482 2.92742 -8.72845 12.6153
483 3.42878 -8.81085 16.9809
484 3.35273 -10.3012 12.6581
485 3.61483 -10.0393 16.9538
486 1.89981 -11.7098 17.4699
487 2.863 -11.2472 16.4039
488 1.81621 -10.4973 13.1784
489 3.01309 -11.172 16.8207
490 3.82886 -9.9538 11.8166
491 3.10465 -11.1542 15.42
492 3.39761 -9.81134 15.7014
493 3.57585 -10.6144 13.3253
494 2.47566 -9.05177 15.0794
495 2.8313 -7.63907 14.3426
496 3.74611 -7.99798 14.4432
497 4.07918 -6.95183 16.7726
498 4.23481 -9.23388 10.1492
499 4.8769 -7.29625 9.90305
500 4.63868 -7.32078 6.26793
501 -0.448553 -4.48017 17.3609
502 -0.40475 -4.29242 16.4683
503 -0.851304 -5.1502 17.2603
504 -0.880201 -5.48385 14.7661
505 -0.267282 -3.98896 15.415
506 -0.0845254 -3.42197 16.3891
507 -0.12869 -4.6707 16.1688
508 -0.474115 -5.36076 16.6178
509 0.633292 -4.072 17.1691
510 0.889838 -4.11071 17.0571
511 -0.0911824 -4.33136 16.8833
512 1.32637 -6.0425 16.7141
513 1.23304 -6.32215 17.4038
514 0.990777 -4.73829 15.0714
515 1.44104 -4.77674 16.5191
516 2.31503 -5.28936 17.0109
517 -0.195044 -6.1749 16.6914
518 0.066465 -5.69071 16.8016
519 0.637923 -5.49546 16.6879
520 1.78981 -4.87979 15.4541
521 1.29922 -4.23506 14.7901
522 0.258922 -4.96694 16.9693
523 -0.858599 -4.55258 17.9976
524 0.372106 -4.51059 16.1055
525 1.12016 -4.13808 16.3736
526 -0.473552 -4.98583 18.4357
527 0.784189 -4.55967 16.1862
528 0.892598 -3.53133 16.2788
529 1.18991 -3.56473 15.6386
530 -0.491802 -3.73952 16.4417
531 -0.0554378 -3.51072 14.7951
532 -1.07554 -4.25302 16.2183
533 -1.54915 -2.8444 16.0425
534 -0.501099 -3.5458 15.8021
535 -1.00787 -3.36494 14.4772
536 -1.12271 -4.00669 15.9846
537 -0.827451 -3.83852 13.0413
538 -0.409803 -3.24262 16.4574
539 -0.310638 -3.5707 15.4231
540 -0.822883 -3.315 15.4695
541 -0.7796 -3.36511 14.1384
542 -0.406389 -3.89272 15.8774
543 -0.224664 -4.4505 15.3573
544 -1.11758 -3.8067 14.1277
545 0.266813 -3.8541 16.7276
546 0.728689 -3.1134 15.2549
547 1.18126 -3.41382 14.7528
548 0.0438623 -3.0198 16.1855
549 0.511481 -3.32829 16.6552
550 -0.617508 -3.46965 15.6184
551 0.395159 -4.03948 16.2866
552 -1.19204 -3.32611 16.3648
553 -0.973131 -3.09047 15.6044
554 0.0672279 -3.6245 13.9834
555 -1.52622 -2.33304 15.2767
556 -1.13979 -2.72282 13.4638
557 -0.617549 -2.25094 13.9725
558 -0.488029 -3.70405 14.7393
559 -0.183195 -4.12326 14.9743
560 0.0765288 -3.70723 13.6586
561 -0.174252 -3.86889 16.6736
562 -0.40239 -3.80786 14.0792
563 -0.103427 -2.95051 14.8511
564 -1.07372 -4.22311 15.9157
565 -1.62793 -4.31683 14.4017
566 -0.00802576 -3.90061 16.1856
567 -1.39308 -3.47494 16.5656
568 0.0341531 -4.2795 14.1099
569 -0.718213 -3.70521 15.1631
570 5.71336 -6.36266 8.34852
571 -0.17992 -4.41301 13.6862
572 -2.01277 -5.00237 17.1798
573 -0.775363 -4.48211 17.1022
574 -0.0193778 -4.41686 16.6644
575 -0.809281 -4.59892 16.8669
576 -1.4282 -3.82853 17.6652
577 -2.05076 -4.68058 16.6913
578 -1.12072 -4.74463 16.4223
579 -1.09342 -5.26436 17.9646
580 2.73808 -7.44493 10.1597
581 -0.497229 -4.86805 15.4261
582 -1.06842 -3.88651 17.9084
583 -1.24397 -5.28725 18.2015
584 -0.462324 -5.45486 14.6213
585 -0.926298 -5.56394 18.3068
586 -0.572464 -5.87109 19.03
587 -1.81684 -5.45179 17.3146
588 -1.0332 -5.34967 17.8666
589 -1.65354 -5.17902 19.1712
590 -1.42493 -5.16203 16.7909
591 -1.29325 -4.19138 18.1332
592 -1.56661 -4.24798 18.1983
593 -1.17748 -5.8922 18.4471
594 -1.26142 -5.28709 16.273
